"id","time","address","isp","country","rdns","screenx","screeny","user_agent","timestamps","path"
"1084","2022-05-28 15:42:29","37.252.82.133","Ucom CJSC","Armenia","host-133.82.252.37.ucom.am","414","896","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/102.0.5005.67 Mobile/15E148 Safari/604.1",",6.6,28.5,41.1,42.8",NULL
"1083","2022-05-17 11:36:25","37.252.80.77","Ucom CJSC","Armenia","host-77.80.252.37.ucom.am","1536","864","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:100.0) Gecko/20100101 Firefox/100.0",",12.2,13.1,19.8,20.5",NULL
"1082","2022-05-16 10:12:04","141.136.91.216","Ucom CJSC","Armenia","host-216.91.136.141.ucom.am","414","896","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19D52 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/15.3.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5]",",3.6,14.9,25.5,25.8",NULL
"1081","2022-05-16 09:25:29","217.76.13.58","MTS Armenia CJSC","Armenia","58.13.76.217.in-addr.mts.am","412","732","Mozilla/5.0 (Linux; Android 8.0.0; SM-A520F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4951.41 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/364.1.0.25.132;]",",10.1,25.2,71.2,76.6",NULL
"1080","2022-05-14 17:23:18","37.252.92.222","Ucom CJSC","Armenia","host-222.92.252.37.ucom.am","1440","900","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",",5.2,18.6,34.4,34.6",NULL
"1079","2022-05-13 12:12:41","78.109.76.18","GNC-Alfa CJSC","Armenia","78.109.76.18","412","823","Mozilla/5.0 (Linux; Android 10; ONEPLUS A5010 Build/QKQ1.191014.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4951.41 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/365.0.0.30.112;]",",9.9,49.7,66.1,67.8",NULL
"1078","2022-05-12 12:19:33","87.241.188.124","Telecom Armenia CJSC","Armenia","87.241.188.124","375","667","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 234.0.0.19.114 (iPhone8,1; iOS 14_7_1; en_AM; en-AM; scale=2.00; 750x1334; 368521586) NW/3",",11,11.5,45.2,52.9",NULL
"1077","2022-05-10 03:35:17","217.76.11.93","MTS Armenia CJSC","Armenia","93.11.76.217.in-addr.mts.am","412","846","Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-A605FN) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/17.0 Chrome/96.0.4664.104 Mobile Safari/537.36",",15.5,16.8,16.8,16.8",NULL
"1076","2022-05-09 16:06:05","141.136.88.105","Ucom CJSC","Armenia","host-105.88.136.141.ucom.am","414","896","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19E258 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/15.4.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5]",",9.3,39.1,65.8,70.8",NULL
"1075","2022-05-05 08:46:08","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",",3.1,6,16.4,16.8",NULL
